country,temperature_celsius,humidity
Guyana,24.839717741935484,93.95564516129032
Haiti,22.114141414141415,86.50707070707071
Honduras,19.30668016194332,88.02631578947368
Hungary,17.761033797216697,56.860834990059644
Iceland,6.852208835341366,82.07228915662651
Inde,31.2,71.0
India,31.901006036217304,44.02213279678068
Indonesia,27.74204204204204,75.58258258258259
Iran,22.131827309236947,25.54116465863454
Iraq,32.83807615230461,23.25250501002004
Ireland,12.425352112676055,78.79879275653923
Israel,25.75843373493976,45.610441767068274
Italy,21.98574297188755,59.881526104417674
Jamaica,27.225656565656568,78.13333333333334
Japan,21.35330661322645,65.34669338677355
Jemen,26.1,34.0
Jordan,24.614829659318637,35.236472945891784
Kazakhstan,12.430923694779118,57.626506024096386
Kenya,22.4112,55.066
Kiribati,27.917706237424547,75.28370221327968
Komoren,25.2,71.0
Kosovo,29.3,42.0
Kuwait,34.5625250501002,22.238476953907817
Kyrghyzstan,19.555020080321285,42.261044176706825
Lao People's Democratic Republic,25.0,95.0
Latvia,13.366398390342052,70.69617706237425
Lebanon,24.890342052313883,60.456740442655935
Lesotho,19.239759036144576,40.933734939759034
Letonia,20.6,94.0
Liberia,26.62329317269076,85.85742971887551
Libya,27.0,74.0
Liechtenstein,12.936345381526104,77.20883534136546
Lithuania,13.149397590361446,68.62449799196787
Luxembourg,13.051710261569417,74.8692152917505
Macedonia,20.97979797979798,51.36161616161616
Madagascar,26.222779519331244,44.71055381400209
Malawi,24.796392785571143,48.09218436873748
Malaysia,29.754108216432865,72.67935871743487
Maldives,28.07358870967742,75.72782258064517
Mali,28.18196392785571,57.807615230460925
Malta,24.283166332665328,63.30460921843687
MalÃ¡sia,24.3,93.0
Marrocos,40.3,14.0
Marshall Islands,28.147895791583164,81.28456913827655
Mauritania,24.46452905811623,57.2625250501002
Mauritius,26.265330661322643,67.67334669338678
Mexico,14.576518218623482,72.20040485829959
Mexique,27.4,72.0
Micronesia,27.826305220883533,84.44377510040161
Monaco,20.30724346076459,63.54728370221328
Mongolia,7.721730382293762,50.21327967806841
Montenegro,22.15321285140562,52.03413654618474
Morocco,21.18893360160966,73.60965794768612
Mozambique,26.184769539078157,58.452905811623246
Myanmar,30.263527054108216,74.5190380761523
Namibia,23.243373493975906,28.91566265060241
Nepal,23.57489959839357,62.441767068273094
Netherlands,14.548995983935741,73.68473895582329
New Zealand,13.002605210420842,79.68537074148297
Nicaragua,24.35344129554656,86.31174089068826
Niger,30.823293172690764,43.68875502008032
Nigeria,28.494188376753506,66.3627254509018
North Korea,16.099397590361445,63.98795180722892
Norway,9.977309236947791,73.90562248995984
Oman,32.551302605210424,52.78156312625251
Pakistan,30.084738955823294,33.38755020080321
Palau,27.95562248995984,82.98995983935743
Panama,25.59151515151515,90.72525252525253
Papua New Guinea,26.530321285140563,84.80722891566265
Paraguay,20.21385542168675,63.52208835341366
Peru,17.18238866396761,84.20445344129554
Philippines,29.853413654618475,74.570281124498
Poland,15.293987975951904,63.144288577154306
PolÃ´nia,27.7,52.0
Portugal,18.75010060362173,72.85714285714286
Qatar,34.65020080321285,36.63855421686747
Romania,19.675301204819277,52.106425702811244
Russia,13.539453125,63.24609375
Rwanda,24.961044176706828,53.0140562248996
