,latitude,longitude,last_updated_epoch,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination
gust_mph,-0.006656973509228839,0.030035018298443694,-0.08004249510922555,0.08093196792539521,0.08094278431526496,0.9500623891737244,0.9501021405480541,-0.0036026056552534947,-0.09704339759338218,-0.09741882973899034,0.04034066616054392,0.039061978963363365,0.006283183271801285,0.05043353106940622,0.0762656700206376,0.07629222296434779,0.0904253999241087,0.09012898824345723,-0.010573912920405628,1.0,0.9999930598594375,-0.11769376275730138,0.05758287179913722,-0.14027707671625017,-0.06417245206667797,-0.056990786391746366,0.044210700501297995,-0.09338916518950975,-0.07717543640261137,0.003771354329346827
gust_kph,-0.006629820304258985,0.03002734651020741,-0.08005553982043458,0.08095841727707195,0.08096928239442175,0.9500608936515538,0.9501012483976996,-0.003599682351423499,-0.09704505603919876,-0.09742016837924485,0.04032676947681216,0.03904746380864635,0.006241528514761206,0.050417654211866544,0.07628809418494176,0.07631467611355705,0.09041435036161333,0.09011813659971118,-0.010536051651820581,0.9999930598594375,1.0,-0.11769184609744883,0.057599933763878515,-0.1402800982297325,-0.06418166792415228,-0.05699036080450555,0.04421506187666084,-0.09338945724184021,-0.07717898619561757,0.0037761855822839464
air_quality_Carbon_Monoxide,-0.0639409529023159,0.09803695263544393,0.009846025117670975,-0.04937657578000378,-0.049372769985431726,-0.09924992173443332,-0.09923680305693215,0.019122933611639303,0.009863828907987805,0.010617969161650882,0.011941660893443317,0.012738871270176264,-0.02163735632843742,-0.04802840841472479,-0.035061045176092806,-0.035061526849312005,-0.08939231798991348,-0.09759349751892658,-0.09216017426783273,-0.11769376275730138,-0.11769184609744883,1.0,-0.11123855864557833,0.6044643375373983,0.3161491743183273,0.6146847656305549,0.16467654464397644,0.46823927610716215,0.43857977446339336,-0.0013956522964785809
air_quality_Ozone,0.14462259782762069,0.0448412452347555,-0.043425087529271024,0.26200770022345354,0.2620171721100882,0.07383840449013164,0.0738137142604979,0.0720435619802058,-0.11190441692600246,-0.11199237061678859,-0.07826077297582505,-0.07603898714301885,-0.437844785903865,-0.2521196910925624,0.1890914600596241,0.18908605216541532,-0.0305496415469844,-0.025538552904921123,0.32951067523995986,0.05758287179913722,0.057599933763878515,-0.11123855864557833,1.0,-0.22265887155992675,-0.026588794995191935,0.04460853371432472,0.08419510672109234,0.11045439576135706,0.11310458200981258,0.012369239935491662
air_quality_Nitrogen_dioxide,0.20569952399679126,0.13814441542120934,0.10451740786207603,-0.1719034901523807,-0.17189246329945104,-0.10913239393078669,-0.10911712911762446,0.07089440993499607,0.05020051895164046,0.0512272882536272,-0.026463545840982153,-0.02466705223956078,-0.0709630116910772,-0.10192691306663795,-0.1699290620778812,-0.16993558733159153,-0.07973286271195462,-0.0849486629147083,-0.14122508649986107,-0.14027707671625017,-0.1402800982297325,0.6044643375373983,-0.22265887155992675,1.0,0.4283899048627327,0.5193624994861458,0.18829921131990235,0.5588699733038281,0.554930629765704,-0.0016824179552915645
air_quality_Sulphur_dioxide,0.044672124242502,0.08781818374510893,0.033887670965846495,-0.04332111176452342,-0.04331817555448906,-0.047074581887730574,-0.04705648369505476,0.0442408398797173,0.017796471537108588,0.01818147083512591,-0.0211126518659054,-0.019597905086827835,-0.09238588526503383,-0.08283486489368676,-0.04662817087631262,-0.04664947442378097,-0.04741590463592624,-0.05119317663603096,-0.02655371836570653,-0.06417245206667797,-0.06418166792415228,0.3161491743183273,-0.026588794995191935,0.4283899048627327,1.0,0.3082368745461806,0.13436879084826564,0.3284428875649617,0.32831669975213446,-0.0004210603949823233
air_quality_PM2.5,-0.014300820878636792,0.09314149193855074,0.08304474065283945,0.032781643715893406,0.03278902536192893,-0.03787823096803675,-0.03789708921542804,0.012443368502584606,-0.004155634152913401,-0.0037644520713732556,-0.04869782983274907,-0.04682007575093929,-0.18059721097848191,-0.1724947783350385,0.016627741842329867,0.016615748694593663,-0.12284280008020004,-0.13306377932974417,0.013982677034792735,-0.056990786391746366,-0.05699036080450555,0.6146847656305549,0.04460853371432472,0.5193624994861458,0.3082368745461806,1.0,0.6450977493900342,0.7971147622961703,0.7599519803049569,-0.0007740887576196451
air_quality_PM10,0.010523607919695798,0.04120144692318567,0.051428248897030016,0.11138584903185896,0.11138661149189716,0.050732678421014345,0.05068468639533393,0.0009145570205483858,-0.027510763129321332,-0.027486405350579318,-0.042698044503204725,-0.04127585078400522,-0.22748047674105004,-0.15422763782977605,0.08097366659331558,0.08097692055895249,-0.05921773921047676,-0.06377111884847121,0.10768812691533164,0.044210700501297995,0.04421506187666084,0.16467654464397644,0.08419510672109234,0.18829921131990235,0.13436879084826564,0.6450977493900342,1.0,0.5139248852970425,0.4807524390409401,-0.00017478643202893082
air_quality_us-epa-index,0.03562426209207362,0.13240323091462924,0.14423224503135013,0.06545970933321589,0.06546467050323622,-0.06043706259808565,-0.060462382983523674,0.030600717176808172,6.479511752484973e-05,0.00054511026143801,-0.07052507543826936,-0.06794448502590193,-0.24136929248100294,-0.22561301653765853,0.04353246233537961,0.04350689365123472,-0.13709809340121565,-0.14878901251279494,0.03418579150424233,-0.09338916518950975,-0.09338945724184021,0.46823927610716215,0.11045439576135706,0.5588699733038281,0.3284428875649617,0.7971147622961703,0.5139248852970425,1.0,0.9352697033944839,0.0033616284332088527
air_quality_gb-defra-index,0.029956699568103158,0.13354382042262114,0.1250015810602388,0.06879223739496716,0.06879583910195307,-0.05049484641423088,-0.05051428354590609,0.030065800920718904,-0.007621341073914989,-0.007128365983207705,-0.06524763857826357,-0.06265621260979004,-0.23821101825107965,-0.22097523937396682,0.047120080925538634,0.04709155973204172,-0.1340619121665532,-0.1467000919139282,0.024594180916313185,-0.07717543640261137,-0.07717898619561757,0.43857977446339336,0.11310458200981258,0.554930629765704,0.32831669975213446,0.7599519803049569,0.4807524390409401,0.9352697033944839,1.0,0.0010235278808641982
moon_illumination,-0.0005233032550904417,-8.010262236930095e-05,-0.008287974724380838,-0.006194285905603937,-0.006197891105036878,0.005228623965135732,0.005224296743712215,-0.012533919233798447,0.008896268093224226,0.008815410399507752,0.004056947509817686,0.0037970054245420855,-0.0009064665570964414,0.004074255411888294,-0.0050288471933322655,-0.005021211770104539,-0.0004251328085956999,-0.0012738193100060476,-0.0028464167643138956,0.003771354329346827,0.0037761855822839464,-0.0013956522964785809,0.012369239935491662,-0.0016824179552915645,-0.0004210603949823233,-0.0007740887576196451,-0.00017478643202893082,0.0033616284332088527,0.0010235278808641982,1.0
